FullDescription,LocationNormalized,ContractTime,SalaryNormalized
"My client, a global provider of intelligent manufacturing systems, with over **** employees based in over 80 countries, have an exciting opportunity for a SAP SD Consultant. Your Responsibilities Developing, customising and maintenance Sales & Distribution SAP module Coordinating different stakeholders Rollingout of the template solution Ensuring tickets are resolved within the respective SLA Your Profile They are looking for Bright, Energetic & Dedicated employees with the following skill set: Experience: 37 years working as a consultant in the area of SAP Sales & Distribution in an international environment. At least **** full lifecycle implementations and **** template rollout in both a support and leading/management role Language skills: English a must. Other languages a plus Skills: Strong conceptual, project management and communication skills Other: Approx 30% travel",UK,permanent,41056
"Assistant Manager, **** It is ESSENTIAL that you have previous Retail experience at a supervisory level You will be supporting the Branch Manager in assisting with the daily operation and management of a busy newsagents within Doncaster Bus Station. You will be helping to lead and motivate the team to achieve sales targets, whilst controlling budgets and looking after the branch in their absence. This role is extremely varied; you will be maximising sales by controlled ordering of stock whilst creating a strong visual impact to planogram merchandising, problem solving day to day issues, serving customers, cash controls and security. You will be required to open and close the branch according to your working rota, therefore own transport is required due to early morning starts, unless local transport is available for you to arrive at work by 5.00am. You should be a computer user and be used to delivering excellent customer service levels at all times. You will be happy to do a role involving shift work, which includes weekends and bank/public holidays, and a certain amount of lifting and carrying. Full training will be given. You will be working 39 hours per week over 5 days, or 6 days as and when required. Branch opening hours are 5.30am to 10.00pm, Monday to Saturday, and 7.00am to 6.00pm on a Sunday. Please click Apply Now below to send your CV",Doncaster,permanent,13395
"Fire Alarm Service Engineer North London Established independent fire alarm installer, seek experienced fire alarm service and maintenance engineers. Applicants should have at least 5 years fire alarm experience, with wide ranging knowledge of conventional and addressable fire alarm systems, as well as understanding of the BS**** fire alarm regulations. This growing installer, can offer career progression, stable working conditions and a competitive salary and benefits package. Please send in your CV for consideration. Location: North London Salary: ****K  OT  Call  Car  Package",North Lambeth,permanent,27000
"An interesting and challenging role awaits you within this successful International Consultancy. You will have previous experience of working within a pensions administration team and possess excellent technical knowledge of scheme rules and legislation of Defined Benefit schemes. This opportunity will see you delivering first class customer service by ensuring you understand your clients rsquo; needs at all times. You will be the main contact for your clients rsquo; personnel in all Business as Usual events and be a steady referral point for Administration, thus safeguarding the quality and consistency of service, which is paramount at all times. You will be identifying service issues and resolving as quickly as possible. You will be able to organise and prioritise own work, ensuring completion within quality standards and agreed service levels. As a senior member of the team you will provide on the job training to administration staff as required. You will take ownership and signoff of Scheme Event test packs and give approval for the issuance of bulk communications (e.g. benefit statements/Increases). You will ensure the timely completion of the Administration report and look after the maintenance of the Scheme Calendar. This role will be a link between the delivery function and the client and will involve substantial liaison between the Offshore and UK office for which there will be a significant need for verbal and written communications. Motivating and encouraging team members will also form a considerable part of this role. If this sounds like a role you can succeed in; apply now. Abenefit****u advertise on multiple websites, some of which issue an automatic closing date one month from the date the advertisement is placed. Please therefore ignore any closing dates on actual job sites and always contact us if you would like to apply to one of our vacancies. Abenefit****u Latest Jobs",Bristol,permanent,30500
"Assistant Manager Business: Harvester Roaring Meg Location: Herts Brand: Harvester Salary: ****  **** Live In: No Assistant Manager Working at Harvester Friendly, familyfocused food is what we’re all about. So if you love making kids smile as much as you like delicious, freshlychargrilled food, look no further than our Harvester. Great food for all the family There’s always a happy family buzz about Harvester, and this friendly, vibrant atmosphere can really help your career takeoff. Develop your skills by preparing and serving a great range of delicious grills, spit roasts, farm assured chicken and fish. Learn how to keep the whole family happy with special ‘Young Guest’ dishes, kids activity sheets and the famous ‘unlimited visits’ Harvester salad bar. www.harvester.co.uk Welcome to the Roaring Meg Retail Park Harvester in Stevenage. You’ll find plenty of happy families at Harvester. Including the great big happy families that work here In fact, here at Harvester the happy family atmosphere seems to make big kids of everyone. So why not join us as Assistant Manager and help to keep our families happy on both sides of the till? What you’ll do in this role It takes a very special type of person to work at Harvester. For a start, you’ll be responsible for maintaining our reputation as THE place to go for a fantastic fun meal out for all the family. You’ll be making sure the standard of food and service are truly excellent. You’ll be helping to recruit, train and develop the Harvester team. Oh and, while you’re doing all that, as Assistant Manager you’re going to have fun  and that’s an order As Assistant Manager, you’ll be ensuring that standards of food and service are consistently excellent You’ll be responsible for training and inspiring a large team First and last impressions count and it’ll be your job to ensure that customers leave with the right one You’ll be taking your first step on a management career ladder that’s limited only by your ambition You’ll be joining our awardwinning Assistant Manager Programme What will make you perfect for the job? Ideally six months’ experience in a high volume pub, bar or restaurant A handson approach so you can really lead by example You’ll be a real people person who’s great at customer service A passion for great food and drink The ambition to be a great manager of the future What we offer Contributory pension scheme Assistant Manager Bonus Scheme – Earn up to **** per annum Private healthcare Structured training programme 25 days’ holiday Apply now If you fancy a rewarding and challenging career where you can really go places. This job was originally posted as www.caterer.com/JobSeeking/AssistantManager_job****",UK,,21000
"Experienced RGN required. Duties to include: Medicine administration, providing care for residents within a nursing home environment. **** Nights per week ****.45pm  8.00am on a rota over 7 nights. Time and quarter for weekends and time and a half for bank holidays. Please call **** for application form. Successful applicants will be required to provide an enhanced disclosure. Disclosure expense met by employer.",Liverpool,,24960
"The Role Full Time Office Administrator to assist with all office functions. You will have knowledge of Excel and Word, and be confident and happy to work alone in the office. Maintain accurate administrative records and files Provide Secretarial Support over the telephone for Directors and Electricians out on jobs Liaise with Contractors and Suppliers Take receipt of all deliveries to the office Answering telephone calls Filing Arranging estimates Create new leads The Candidate The Ideal Candidate will already have experience within an administrative role, and will possess the following skills and attributes; Selfmotivated High Standard of IT Skills across MS Office Excellent telephone manner and communication skills Ability to prioritise workload Excellent time management skills Ability to work under pressure Excellent attention to detail If you would like to apply for this position, please send your up to date CV and a covering letter to Due to the amount of CVs we receive we will only be able to contact you if your application is successful.",Surbiton,,14000
"Domestic Supervisor (Band 2) Birmingham b15 Ongoing temp Hours will be anything between 9am and 7pm To start ASAP **** p/h. You will be required to work every other weekend at **** p/h As the domestic supervisor you will have proven knowledge and experience of working in the industry. You will be directly responsible for all Health Safety documentation, and manage all cleaning operatives. You must provide an efficient and acceptable standard of domestic services as outlined in the domestic specifications. You will be responsible for the domestic assistants working in the area. As the domestic Supervisor your duties will include:  Stock control  Appraisal and Disciplinaries  Organising shift rotas  Payroll queries  Organise and deep cleans to take place  Organise and monitor health and safety compliance  Provide a reactive service for any short term requirements  Look to provide an efficient service and address any spend issues  Staff management and liaison with personnel department  Must be IT literate The ideal candidate will have the following; City and Guilds **** 2 and/or NVQ 2 Support Services qualification BICSc COPC Certificate Level 2 Food Hygiene certificate Knowledge of Quality Monitoring Procedures. Knowledge of Health and Safety COSHH regulations, or be willing to complete relevant qualifications within 18 months. Knowledge experience of Computer programmes, ie: Outlook, Word and Excel. Excellent verbal written communication skills Good Numeracy Skills Good organisational skills Drive and enthusiasm. Pleasant and helpful disposition Able to work alone or as part of a team. Clean and smart appearance. This job was originally posted as www.totaljobs.com/JobSeeking/DomesticSupervisor_job****",UK,contract,13824
"SAM Engagement Manager  Reading  up to ****k  Bonus Additional Resources are proud partners to an exciting SME with Global aspirations. Specialising in Business intelligence solutions  Software Asset management please ensure you apply today to avoid disappointment. Due to the volume of applicants, not all candidates will be contacted. To apply, please email you CV to  or pick up the phone and give me a call on  ****eywords: Software sales  hardware sales  IT sales  IT Business Development  IT Recruitment Consultant Additional Resources are an Employment Business and an Employment Agency as defined within The Conduct of Employment Agencies & Employment Businesses Regulations **** software hardware it sales bis",UK,permanent,24000
"This building maintenance provider is looking to recruit a Facilities / Contract Manager to its busy Bristol team. Covering contracts to the value of pound;1 million you will be responsible for both hard and soft services including the profitable operation of the portfolio being managed, Taking a proactive role in visiting customers and attending meetings ensuring satisfaction with service and seek opportunities for development and extra works. Take a lead role in the manpower planning and implementation. Ensure training and development of engineering staff is implemented and monitored and ensure the contract is ran in a cost effective manner. You will be fully responsible for P amp;L, ensuring SLA s are met and have direct leadership of the team of engineers Candidates applying need to have previous employment of a similar nature and a wealth of knowledge within the Facilities and building maintenance industry. Apply now  Fusion People are committed to promoting equal opportunities to people regardless of age, gender, religion, belief, race, sexuality or disability. We operate as an employment agency and employment business.",Bristol,permanent,36000
"Insolvency Litigation Solicitor Insolvency Litigation Solicitor , Worcestershire Ambitious regional firm is currently seeks an insolvency litigation solicitor to help manage the firms growing client base. You ll enjoy handling matters from the initial client contact through to completion and be comfortable generating new business for the firm. You ll have experience also both corporate and personal insolvency litigation. Ideally you ll have a good working knowledge of the geographical area , be used to a target focused environment and be a team player. Ideally you ll have circa 3 years PQE however all levels of experience will be considered. Salary negotiable. Please contact Dante Friend, Legal Recruitment Consultant, to discuss the role in more detail or apply through the vacancy for immediate consideration. If you have not been contacted within **** working days you should assume you have not been successful on this occasion. Douglas Scott are the Legal Recruitment experts and the UK s leading law firms trust us with their legal vacancies. You can therefore apply for our Midlands based legal jobs with confidence, we are a regulated employment agency and will discuss this role with you and seek your approval before submitting your application directly to the decision maker. Please see our website www.douglasscott.co.uk for more legal jobs in Birmingham and the Midlands.",Worcestershire,permanent,30000
"Our client, a leading and fast growing company, is seeking a qualified accountant to join them as Finance Manager reporting to the Head of Finance and managing a small team. This is a lead financial accounting role within a newly formed finance team focusing on both the delivery of monthly management information and tight financial control. Key responsibilities will include review and approval of monthly reconciliations, ensuring monthly reporting requirements and deadlines are met accurately, liaising with external and internal auditors, compiling and processing cash payments, and monthly cost centre reviews. The successful candidate will be a qualified accountant (ACA, ACCA or ACMA) with a proven track record of financial accounting and team leadership. Strong Excel skills are a prerequisite for success in this role, whereas SAP experience would be ideal. You will have a professional approach, excellent communication skills, and strong commercial awareness. This is a fantastic opportunity to join a highly respected organisation, offering a competitive salary and benefits.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found at hays.co.uk",East Sussex,permanent,40000
"HEALTH AND SOCIAL CARE LECTURER ******** per hour on a temporary hourly paid basis. Capita Education Resourcing is currently working with a leading further education college in Chesterfield looking for a Health & Social Care Lecturer. We are looking for candidates with experience of teaching various aspects of Health & Social Care or Childcare. Candidates that believe they have suitable qualifications or experience regarding teaching or working in the Health Care environment are encouraged to apply. Ideal candidates will have previous teaching experience, a recognised teaching qualification such as a PGCE or PTLLS Certificate along with relevant industry experience. Those applying should have fantastic classroom management also. If you have the skills and experience we require, please reply with a copy of your CV ASAP. Capita Education Resourcing is the leading education recruitment specialist and offers the largest staffing support network for colleges in the UK. There is a wide range of opportunities for lecturers, trainers, teachers, assessors, and distant learning tutors in both nonvocational and vocational subjects. Capita Education Resourcing is an accredited Quality Mark Company. Capita Education Resourcing is committed to a policy of equal opportunities. We respect and value cultural and religious diversity and will not discriminate on the basis of age, gender, sexual orientation, race, ethnic origin, religion, culture or disability. Each individual is assessed on merit alone.",Chesterfield,contract,32640
"Mobile Applications Developer (iPhone) Essential Skills IOS Platform Experience developing ObjectiveC, Cocoa and Xcode Experience with HTML, JavaScript and SQL Web commutations experience  SOAP, XML, JSON Android experience (desirable) Java (desirable) My Client based in Sheffield are a well known digital agency providing the worlds lowestcost telematic systems. Much of their work is focused on the automotive industry where they provide systems to help increase customer loyalty. What makes them stand out is that the products they provide are very easy to deploy and maintain. This is a fantastic opportunity for a iPhone Mobile Application Developer to join a close knit team of experience executives. If you are an up and coming iPhone Developer or an experience professional, apply for the position today. This job was originally posted as www.cwjobs.co.uk/JobSeeking/MobileApplicationsDeveloperiPhone_job****",Sheffield,permanent,40000
"Our client based in East Anglia is looking to recruit a NPD technologist from now till October The role Develop concept through to launch. Organise and attend customer and supplier presentations Deputise for the NPD Manager Do costings and recipe generation Set out and report PIP plansThe Candidate Be able to handle customers / suppliers with confidence Clean driving licence Experience of working from concept through to launch Factory trial experience Excellent communication and organize skills, and be able to work part of team",UK,contract,25000
"Job Title: Hub Programme Officer Location: Blackfriars, Greater London Salary: **** pro Rata Our client is an awardwinning national charity, delivering volunteerpowered community projects across the UK. They build communities by combining surplus food, volunteers and spare kitchen spaces to create tasty and nutritious meals for people who may be at risk from food poverty and social isolation. They are in an exciting period of growth and have received interim funding to expand their Hubs Programme. They are looking for someone enthusiastic and committed to work within their Hubs team, initially on a fixedterm contract of 7 months, starting as soon as possible. Contract: Fixedterm, 7 months (with possibility of extension) Hours: 35 hours per week Holidays: ****3 days per year pro rata, plus public holidays pro rata Pension: Pension available provided by the Pension Trust Please apply online with your CV and a covering letter of no more than 2 pages telling why you would be the ideal candidate and how you fit the person specification. The deadline for submissions is 9am Monday 14th January 2013. Interviews will take place on week commencing 21st January 2013. A detailed Job Description and the Person Specifications will be sent to the email address specified on your CV.",London,permanent,16500
"Partner Financial is currently working with a wellestablished, household name to source for a Commercial Finance Manager for one of its highest growth divisions. With sites across the UK and a rapidly expanding international presence, this business is widelyrecognised as one of the brightest corporate success stories in recent years. The Commercial Finance Manager represents a key interface role between senior members of the Operational and Commercial teams and the widerfinance community, delivering highcalibre, commercially actionable information to this rapidly changing area of the business. Key Responsibilities will include: Working closely with the Operations Directors across two distinct business units, working extensively on the measurement of established operational KPIs and reporting on financial performance for each business; Acting as the key finance representative amongst the Operations community, ensuring finance is working to support operational growth and efficiencies; Presenting and championing business cases to achieve new business opportunities through a detailed and indepth knowledge of the organisation's operational targets; Owning the monthly and annual reporting timetables, ensuring that annual budgets and monthly forecasts are prepared in a timely and accurate fashion and that these provide realistic and robust financial targets; Ensure all operational stakeholders are aware of and commit to budgetary timetables; Managing and developing one direct report responsible for detailed business analysis. The successful candidate will be a qualified accountant with firstrate budgeting, forecasting and management reporting capabilities. A trackrecord of producing highcalibre management information within a large commercial environment will be imperative while some prior exposure to working with Commercial Management and Directors would be highly valued. Strong Excel skills, a natural capacity for presentation and some prior experience of managing a small team would be valuable, but by no means imperative in proving successful within this position. I will be contacting candidates with the closest match to the client's criteria within ten days of application to arrange an initial meeting. If you have not heard from me within these timescales, thank you for your interest, but please consider your application unsuccessful on this occasion",Buckinghamshire,permanent,55000
"My global leading client is seeking a Risk Analyst with SAS or SQL skills to contribute to providing a risk free marketplace by offering customers protection, enforcing policies and developing products that elevate trust. To do this my client has set up a global team which is dedicated to improve risk management process streamlining for customers and company in a businessenabling way. The Analyst will be responsible for tracking the performance of the key initiatives of the business unit and providing insight into the business drivers of the performance to the Leadership team. You will also support the wider Finance team by preparing forecasts and setting financial expectations for initiatives. Responsibilities: Working closely with key business partners  across Finance, Analytics, Customer Service and Business Unit teams based in multiple locations  you will perform two main activities: **** Performance tracking and forecasting for Global initiatives Provide measurement and insight into key business drivers of performance against expectations Develop deep insights related to risk for the global business  from analysis through to scenario modelling and business recommendations Extract, analyse and collate data from a variety of sources to create both regular and ad hoc reporting for presentation to senior management Support the Finance and Marketplace teams in setting forecasts and financial expectations Work with the US and EU regional analytics teams to ensure consistency of metric and performance measurement **** Support other EU streams (Shipping, Seller Performance, Payments and Risk management) Identify options and assess financial customer impacts of key Global Marketplace initiatives, such as roll out scenarios for new markets Partner with key business units to challenge their thinking, provide direction, prioritise analytical deliverables, and become a trusted adviser and impartial counsel Skills Experience: Technical and financial modelling skills in Microsoft Excel, SQL, Access etc. Intermediate to advanced Microsoft PowerPoint. Experience in SAS a distinct bonus Proven ability in clearly defining a problem, collating the required information, analysing the results and synthesising a compelling argument Pan European (or multicountry) experience beneficial Fluency in English is a requirement, multiple language capabilities is a plus Key words: risk, SAS, SQL, Insight, Analyst If you would like to apply then send an updated CV asap to petermbnrecruitment.com",West London,,50000
"IT Systems Trainer IT Systems Trainer is required to join a reputable organisation based in central Leeds .This position offers a varied and challenging opportunity. This is a new job created as a result of continued growth allied to a significant investment in IT systems and hardware for the business. This position is required to create, integrate and deliver an effective learning and development strategy for the company, incorporating the delivery of a wide range of training solutions including IT, soft skills, compliance and company specific systems and processes.The successful candidate will have a strong track record in delivering technical and IT training especially around Windows 365,Windows 7,Sharepoint online and Office 2010. In addition to excellent stakeholder management and an ability to establish credibility and build rapport at a variety of levels, experience within a professional services environment would be of benefit.This exciting opportunity is paying a salary circ ****Kcompany benefits. It is easily commutable from Leeds,Bradford.Wakefield,Sheffield,Manchester and York.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T C's, Privacy Policy and Disclaimers which can be found at hays.co.uk",Leeds,permanent,27500
"Our client is a market leading blue chip organisation seeking a high calibre qualified accountant to join their operation as Financial Controller based in Bedfordshire.  Providing the lead on any technical accounting issues  working with the various accounting teams and Group.  Statutory accounting and reporting.  Overseeing the provision of full accounting services to the business.  Managing and developing a high potential team.  Process and systems improvement.  Adhoc project work. A qualified accountant (ACA or ACCA) with a proven track record of career progression within blue chip corporate environments. The successful candidate will possess first class communication skills, will have ideally trained with a top tier accountancy firmand be of graduate calibre. Blue chip Plc in the Northern Home Counties. ****  ****  excellent benefits package Your application will be reviewed by Michael Page. Please be aware we receive a high volume of applications for every role advertised regularly receive applications from candidates who exceed the job credentials. We will only contact you within the next 14 days if you are selected for interview. Where specific UK qualifications are required we will take into account overseas equivalents. Michael Page is a world leading recruitment consultancy. This job was originally posted as www.totaljobs.com/JobSeeking/FinancialController_job****",UK,permanent,70000
"Our client is a privately owned, well respected, automotive accessory supply and service business, now looking to recruit a Branch ManagerThe successful applicant will have overall responsibility for the daily operation of the branch and team, ensuring an excellent level of customer service is achieved at all timesRole Responsibilities:Maximizing sales and margins ensuring targets are achieved.Controlling stock, ensuring computerised inventory system is maintained.Gaining area penetration of products by personal contact, telephone calls and promotions utilizing other staff where necessaryKnowledge of the trailer/vehicle accessory market (eg towbars) is essential, along with a stable career to date and a full, clean, current driving and towing licenceSuccessful applicants will be contacted with **** working days of CV receipt",Manchester,permanent,27000
"Novel Systems Engineer (RF Engineer or electronics / scientific /PhD background an advantage). Highly successful Defence Organisation based in Bristol is currently looking to recruit 2 Novel Systems Engineers. Please Note: you must be eligible for SC (Secret Level) Security Clearance if you’re not already cleared to that level. The salary on offer is between ****k  ****k  Outstanding benefits including, Annual Bonus, Overtime, Flexitime, Pension and Company Healthcare etc. Novel Systems Engineers Job Description: Support or Lead Engineer position in the Novel Systems group of Future Systems. To work on a range of studies relating to the research active and passive stealth technologies, Lasers. Successful candidates will be working in a multidisciplinary team within Future Systems to develop and mature novel technologies from low technology readiness levels in to tomorrow's capabilities. Candidates with a PhD but not necessarily any industry experience are welcome to apply. Carry out a wide range of technical analyses, investigation, development and modelling of novel technologies and systems. Assist in the definition and planning of new studies in response to customer requirements. Support the development of requirements and detailed plans for field trials of system prototypes. Provide technical guidance and data analysis support to field trials as required. Prepare technical reports, deliver presentations and develop plans to satisfy project deliverables. Keep up to date in new and relevant technology areas, be prepared to develop skills and capabilities in new technologies to be able to provide effective support and expertise. Undertake the development of novel technologies to meet technical challenges. Undertake system design and analyses of new systems. Skills / Experience: A graduate or experienced engineer with an engineering or science background. Ideally those with higher degrees (e.g. Masters or PhD) in physics, numerical modelling, materials science or aeronautical engineering disciplines are preferred. Systems Engineers with a technical background and experience of working in a technical R&D environment may be considered. Hard working candidate with ability to think laterally and with initiative to develop new ideas. Ability to define solutions within an open problem space, take the lead in defining system concepts and capabilities. A positive attitude towards problem solving and developing solutions for a variety of customer requirements, enjoys a challenge and is not risk averse. A strong scientific / engineering background (physics / mathematics / electronic engineering / numerical modelling /aeronautical) or a background in electronic or RF engineering are an advantage. Experience in using analytical software (e.g. Matlab, PSpice, CST, Comsol, or similar). Candidates do not necessarily need prior experience working on the specific technologies listed (although it would be highly beneficial). However they should be adaptable and keen to learn and develop their knowledge of new technology. A track record of working in a challenging technical environment would be highly advantageous.",Avon,permanent,40000
"A great opportunity has arisen for an Account Manager with 2 years account handling experience in digital to join an award winning, international media agency. You will be working closely with the Digital Account Director on two wellknown famous brands within retail and travel. You must have experience in Comms Planning, PPC, Affiliates, and digital display. This is a fantastic opportunity to work in a hands on account handling role. The standard of this agency is high so you must be digitally savvy, have a clear passion for online and have previous digital media agency experience. Salary: ****k depending on Experience. Freelancers will also be considered for this role too for the time being. Responsibilities:  Day to day running of the accounts working closely with the Comms Planning team  Input on digital and crossmedia new business pitches  Contribute to developing team process to drive best practice and efficiencies  Build strong working relationships with clients  Develop and define clear roles for digital channels and transfer communication strategies into detailed and insightful briefs for Specialists and media owners.  Working with other companies, where necessary, to help produce clear strategies and campaigns Qualifications, Skills and Experience:  Experience in the following disciplines: Display, Affiliates, PPC, and Media planning are essential for this role. Experience in other areas such as mobile and Social Media is a bonus  Understanding of how ATL media channels work  Experienced in digital strategy  Knowledge of new technologies and how these will benefit your clients.  Advanced knowledge and application of industry planning/information tools, plus programmes Word, Excel and Powerpoint If you like the sound of the role and have the media agency background I'm looking for then please send your CV to Stephen at Ecom. digital account manager display planning ppc social media media",London,permanent,32500
"Senior Java Developer  Manchester Java, Web, MVC, Spring, SOAP Working with a large company based in Manchester we are looking to recruit a Senior Java Developer. Your skill set will include Java (**** or newer), JSP, JUnit, JavaScript, Spring MVC, AJAX, Linux and Hibernate is also desirable. As well as the above all candidates should have strong SQL knowledge; web application development and architecture, network technologies and application security are also classed as advantageous. Working as part of a wellintegrated team you will have good listening, verbal and written communication skills and have the ability to solve problems whilst working under pressure and to tight timescales. This represents a fantastic opportunity to improve upon your existing Java skill set. For further information please forward an up to date Word CV. This job was originally posted as www.cwjobs.co.uk/JobSeeking/SeniorJavaDeveloperManchester_job****",UK,permanent,43000
"As a Business Development Manager you will be responsible for managing your own diary and pioneering growth within a particular sector. As part of this role you will have the freedom to grow market share by prospecting, relationship managing and developing key accounts. This is an ideal role for professionals who enjoy to be part of a team but are selfmotivated and want to progress their career. Your role will encompass selling advertising and recruitment solutionsto Sales Director, Managing Directors and Finance Directors ofLondon businesses.  Strong work ethic  Ambitious individual  Consultative seller  Sales track record  Excellent telephone manner. A global and leading company who is looking to add headcount to their profitable Sales team in London. c****k  ****k OTE  Excellent Benefits Your application will be reviewed by Michael Page. Please be aware we receive a high volume of applications for every role advertised regularly receive applications from candidates who exceed the job credentials. We will only contact you within the next 14 days if you are selected for interview. Where specific UK qualifications are required we will take into account overseas equivalents. Michael Page is a world leading recruitment consultancy. This job was originally posted as www.SalesTarget.co.uk/JobSeeking/BusinessDevelopmentManager_job****",South East London,,30000
"Product manager, lottery, gambling systems to join this leading gaming technologies company based in Central London. Joining an impressive technical department, you will be responsible for driving the development and enhancements to the companys lottery product through the full life cycle. This will include managing development of product features, cost modelling and forecasting, translating business cases into roadmaps, managing ongoing enhancement of live products and managing internal and external customer relations. With exceptional communication skills you will need to demonstrate: Impressive product management in the software sector Lottery systems experience Online and retail trading environments experience Knowledge of UK and overseas regulatory requirements Impressive academic qualifications This is an exceptional opportunity for a product manager to join a technology company at the cutting edge of gaming and lottery software, offering exceptional career development as the company grows. Excellent salary and benefits on offer. Send your CV for an immediate interview",London,permanent,61500
"Role: Regional Operations ManagerLocation: OxfordshireSalary: **** plus benefits and company car.This is an exceptional opportunity to work for a national care home provider with circa **** services across the UK. Our client has an outstanding reputation and you could play a key role in ensuring their continued success and high standards of care practice.You will be joining a stable, secure business with plans for continuing their growth organically. You will take on a portfolio of **** care homes in Oxfordshire providing an opportunity for you to demonstrate your manmanagement skills, commercial acumen and financial expertise. You will hold ultimate accountability for the care and commercial performance of the care homes in your area and be rewarded well for their continued success.The Role: Reporting to the Operations Director you will be responsible for providing line management to the home managers in your portfolio. You will ensure that the homes maximise their profitability, through effective staff management, external relationship building/marketing and controlling costs. You will make sure that care standards are kept at the highest level and the excellent reputation the company holds is maintained. The Candidate: You will have multisite management experience in a heavily regulated, care focussed sector. A Registered Nurse is preferable. You will have proven leadership and communication skills, with the ability to adapt quickly to changing situations. You will have good commercial awareness and business acumen. The ability to build and maintain external relationships is a key aspect of the role.If you think this is the role for you, please submit you CV with your application, or alternatively please call Jonny Stewart for further details on **** ****",Oxford,,60000
"JOB TITLE : Account Manager Orthopaedic SALARY : circa ****k  uncapped OTE PRODUCTS : Arthroscopy / Sports Surgery  Orthopaedics SELLING TO : Orthopaedics Surgeons, Theatres, Trust Budget Holders LOCATION : Oxfordshire/Gloucestershire/Buckinghamshire COMPANY INFORMATION  The world s largest and most diverse healthcare Organisation  Market leader in Orthopaedic therapies  In excess of **** operating companies based in 57 countries selling all over the world  Over **** employees, with over **** in the UK PRODUCT INFORMATION  Arthroscopy / Sports Surgery Products PERSONAL SKILLS NEEDED  Sense of urgency, results driven and a passion in all that you do  Dynamic, Can Do attitude  Selfstarter, quick learner, able to operate in a fastpace environment  Completer/finisher, positive, fun KNOWLEDGE EXPERIENCE NEEDED  Educated to degree level or beyond.  Demonstrated sales success highly desirable.  Orthopaedic experience preferred.  Highly developed negotiation and influencing skills.  Highly developed and proven written and oral communication skills.  Ability to work independently and as part of a team THE ROLE  Responsibility for sales of Arthroscopy / Sports Surgery products to Consultant Surgeons on a given territory  Daily interaction with key clinical stakeholders  Weekly interaction with nonclinical and commercial stakeholders  Frequent contact with Field Sales Manager  Frequent contact with UK Product Managers  Frequent contact with other members of the H K team.  Frequent contact with UK Supply Chain and Customer Service. Candidates must be eligible to work and live in the UK FOR FURTHER INFORMATION PLEASE CONTACT DICKSON HARRIS MEDICAL DEVICE RECRUITMENT  **** **** Established in 2003, our philosophy remains the same today as when the company was founded  that is to perform professionally, ethically and with integrity at all times",UK,permanent,37500
"Field Service Engineer (Construction Plant) Bristol/M4 Corridor Up to ****pa base  Vehicle  O/T Our client, a worldrecognised manufacturer and distributor of construction plant, agricultural, and materials handling equipment, have an exciting new vacancy for a Field Service Engineer to work in and around the North London/Home Counties area. The Field Service Engineer will be responsible for: To diagnose faults, repair and test equipment Record work done and report any faults not corrected A degree of flexibility is required towards working hours, as there is a requirement to work outside of normal working hours effect repairs and test equipment in a timely manner To ensure that safety standards are maintained To ensure all due care is given to customers property To ensure all due care is given to TCH company property To obtain necessary parts from stores To accurately complete and sign off all job cards (electronic or written), giving full description of work carried out To maintain acceptable standards of discipline To advise supervisor when completion times cannot be met Where necessary discuss vehicle concerns direct with customer To achieve minimum standards (set by Manager/Supervisor) of customer satisfaction The ideal candidate will display the following: A relevant engineering qualification (HND/HNC/Technical Apprenticeship) A background in service engineering on heavy plant equipment Flexibility to travel and work outside working hours to ensure jobs are completed The successful Field Service Engineer will command a salary of up to ****pa, plus company vehicle and benefits, along with the opportunity to work overtime as and when required. MTec Recruitment is a leading supplier of Permanent, Interim and Project Management Recruitment Solutions to the Automotive and General Engineering sectors. Due to the overwhelming response to vacancies in this current climate, if you have not heard from us within the next two weeks you have been unsuccessful at this time.",Bristol,,26000
"Our client based in Loughborough has opened a new late shift and has a requirement for new staff to join their new shift. Working ****  **** 5 days a week Duties will involve:  Picking of garments/homewares against printed picking lists  Check, fold and pack customer orders according to company procedures  Check garments/homewares prior to despatch and report any quality issues;  Unpack and record returned goods  Print labels, check garments/homewares for any damage;  Assist with the unloading of deliveries; Warehouse experience essential To apply, please email your CV to natalie",Loughborough,permanent,13440
"Cleaner required for prestigious bathroom and electrical showroom in W**** area, 4 hours per day Monday to Friday. Experience preferred but not essential. Duties will include all aspects of cleaning a showroom and office, including toilets, mopping, dusting, vacuuming, polishing and all other associated tasks as required. All job applicants are required to provide documentation which demonstrates their eligibility to work in the UK. You can apply for this job by sending a CV/written application to The Showroom Ltd, **** **** Bramley Road, London W**** ****SZ or by email to katheshowroomltd.co.uk.",London,,11884
